"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
1,"A Quiet Place","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",90,"Drama",7.5,82,440594,188,"John Krasinski","Emily Blunt"
2,"Crazy Rich Asians","This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",120,"Comedy",6.9,74,150274,174.5,"Jon M. Chu","Constance Wu"
3,"The Nun","A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.",96,"Horror",5.3,46,125429,117.4,"Corin Hardy","Demi¨¢n Bichir"
4,"Avengers: Infinity War","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",149,"Action",8.4,68,888456,678.8,"Anthony Russo","Robert Downey Jr."
5,"Bad Times at the El Royale","Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",141,"Crime",7.1,60,134454,17.84,"Drew Goddard","Jeff Bridges"
6,"Spider-Man: Into the Spider-Verse","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",117,"Animation",8.4,87,406588,190.2,"Bob Persichetti","Shameik Moore"
7,"Hereditary","A grieving family is haunted by tragic and disturbing occurrences.",127,"Drama",7.3,87,255871,44.07,"Ari Aster","Toni Collette"
8,"Black Panther","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",134,"Action",7.3,88,655969,700,"Ryan Coogler","Chadwick Boseman"
9,"Aquaman","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",143,"Action",6.9,55,400616,335,"James Wan","Jason Momoa"
10,"Bohemian Rhapsody","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",134,"Biography",7.9,49,473457,216.4,"Bryan Singer","Rami Malek"
11,"Blindspotting","While on probation, a man begins to re-evaluate his relationship with his volatile best friend.",95,"Comedy",7.4,77,28451,4.33,"Carlos L¨®pez Estrada","Daveed Diggs"
12,"Ready Player One","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",140,"Action",7.4,64,385211,137.6,"Steven Spielberg","Tye Sheridan"
13,"Eighth Grade","An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.",93,"Comedy",7.4,89,67067,13.54,"Bo Burnham","Elsie Fisher"
14,"Venom","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",112,"Action",6.7,35,383925,213.5,"Ruben Fleischer","Tom Hardy"
